timestamp,hr,br,posture,hr_confidence,hrv,is_hr_unreliable,is_br_unreliable,is_hrv_unreliable
1630678967442,88,22.0,-179,100,53.0,0,0,0
1630678968442,91,22.0,-179,100,53.0,0,0,0
1630678969442,94,21.0,-179,100,53.0,0,0,0
1630678970442,92,21.0,-179,100,53.0,0,0,0
1630678971442,90,21.0,-179,100,53.0,0,0,0
1630678972442,85,21.0,-179,100,54.0,0,0,0
1630678973442,81,21.0,180,100,54.0,0,0,0
1630678974442,79,21.0,180,100,55.0,0,0,0
1630678975442,79,20.0,-179,100,55.0,0,0,0
1630678976442,82,20.0,-179,100,55.0,0,0,0
1630678977442,85,20.0,-179,100,55.0,0,0,0
1630678978442,87,20.0,-179,100,55.0,0,0,0
1630678979442,88,19.0,-179,100,54.0,0,0,0
1630678980442,88,19.0,-179,100,55.0,0,0,0
1630678981442,85,19.0,180,100,56.0,0,0,0
1630678982442,81,19.0,180,100,56.0,0,0,0
1630678983442,79,19.0,-179,100,57.0,0,0,0
1630678984442,77,19.0,180,100,57.0,0,0,0
1630678985442,79,19.0,180,100,58.0,0,0,0
1630678986442,79,19.0,180,100,58.0,0,0,0
1630678987442,80,19.0,-179,100,58.0,0,0,0
1630678988442,84,19.0,180,100,58.0,0,0,0
1630678989442,89,19.0,180,100,58.0,0,0,0
1630678990442,88,19.0,180,100,57.0,0,0,0
1630678991442,86,20.0,180,100,57.0,0,0,0
1630678992442,83,20.0,180,100,57.0,0,0,0
1630678993442,80,20.0,-179,100,57.0,0,0,0
1630678994442,81,20.0,180,100,58.0,0,0,0
1630678995442,84,20.0,180,100,58.0,0,0,0
1630678996442,86,20.0,180,100,58.0,0,0,0
1630678997442,91,20.0,180,100,58.0,0,0,0
1630678998442,92,20.0,-179,100,58.0,0,0,0
1630678999442,89,20.0,180,100,58.0,0,0,0
1630679000442,84,20.0,180,100,58.0,0,0,0
1630679001442,82,20.0,-179,100,58.0,0,0,0
1630679002442,79,20.0,-179,100,59.0,0,0,0
