timestamp,breathing_waveform
1630678967002,7376911
1630678967042,7376963
1630678967082,7377746
1630678967122,7377120
1630678967162,7375868
1630678967202,7376285
1630678967242,7375399
1630678967282,7376703
1630678967322,7378424
1630678967362,7380927
1630678967402,7382178
1630678967442,7384577
1630678967482,7386820
1630678967522,7388801
1630678967562,7392295
1630678967602,7394121
1630678967642,7396363
1630678967682,7398397
1630678967722,7400378
1630678967762,7402829
1630678967802,7404602
1630678967842,7407053
1630678967882,7407836
1630678967922,7409609
1630678967962,7411017
1630678968002,7412373
1630678968042,7412947
1630678968082,7412581
1630678968122,7411382
1630678968162,7410600
1630678968202,7409192
1630678968242,7408096
1630678968282,7407836
1630678968322,7406845
1630678968362,7405854
1630678968402,7405333
1630678968442,7404081
1630678968482,7402204
1630678968522,7400796
1630678968562,7400066
1630678968602,7399335
1630678968642,7398866
1630678968682,7397823
1630678968722,7397249
1630678968762,7397145
1630678968802,7396102
1630678968842,7396467
1630678968882,7396832
1630678968922,7397980
1630678968962,7395581
1630678969002,7395529
1630678969042,7394016
1630678969082,7392660
1630678969122,7391722
1630678969162,7390992
1630678969202,7392400
1630678969242,7394016
1630678969282,7393808
1630678969322,7394173
1630678969362,7392035
1630678969402,7390887
1630678969442,7389636
1630678969482,7388749
1630678969522,7389271
1630678969562,7389271
1630678969602,7389219
1630678969642,7389531
1630678969682,7388854
1630678969722,7387863
1630678969762,7387289
1630678969802,7386507
1630678969842,7386298
1630678969882,7385516
1630678969922,7386924
1630678969962,7388541
1630678970002,7390627
1630678970042,7391461
1630678970082,7393599
1630678970122,7394799
1630678970162,7396415
1630678970202,7398605
1630678970242,7400743
1630678970282,7403038
1630678970322,7404602
1630678970362,7406324
1630678970402,7408149
1630678970442,7410130
1630678970482,7412529
1630678970522,7414355
1630678970562,7415919
1630678970602,7417588
1630678970642,7418422
1630678970682,7419257
1630678970722,7420717
1630678970762,7420195
1630678970802,7418579
1630678970842,7418422
1630678970882,7418057
1630678970922,7417588
1630678970962,7416284
1630678971002,7414615
1630678971042,7413677
1630678971082,7412112
1630678971122,7410808
1630678971162,7410287
1630678971202,7408983
1630678971242,7407575
1630678971282,7407002
1630678971322,7406324
1630678971362,7406167
1630678971402,7407106
1630678971442,7407471
1630678971482,7407053
1630678971522,7405489
1630678971562,7404342
1630678971602,7402777
1630678971642,7401839
1630678971682,7401317
1630678971722,7402360
1630678971762,7402100
1630678971802,7401995
1630678971842,7401891
1630678971882,7401056
1630678971922,7399857
1630678971962,7400170
1630678972002,7399284
1630678972042,7399805
1630678972082,7399909
1630678972122,7399440
1630678972162,7399075
1630678972202,7398501
1630678972242,7397145
1630678972282,7395789
1630678972322,7395476
1630678972362,7395529
1630678972402,7395320
1630678972442,7394381
1630678972482,7393495
1630678972522,7392973
1630678972562,7391982
1630678972602,7391774
1630678972642,7393703
1630678972682,7395268
1630678972722,7397197
1630678972762,7399440
1630678972802,7401786
1630678972842,7405385
1630678972882,7407314
1630678972922,7410652
1630678972962,7411747
1630678973002,7412999
1630678973042,7415241
1630678973082,7416023
1630678973122,7417744
1630678973162,7419830
1630678973202,7421864
1630678973242,7423637
1630678973282,7424576
1630678973322,7426401
1630678973362,7426193
1630678973402,7424263
1630678973442,7422490
1630678973482,7420404
1630678973522,7418891
1630678973562,7418839
1630678973602,7419257
1630678973642,7418057
1630678973682,7417483
1630678973722,7417066
1630678973762,7416232
1630678973802,7415032
1630678973842,7414407
1630678973882,7414824
1630678973922,7413885
1630678973962,7414198
1630678974002,7414355
1630678974042,7413677
1630678974082,7413051
1630678974122,7412686
1630678974162,7412008
1630678974202,7411226
1630678974242,7410912
1630678974282,7410704
1630678974322,7410183
1630678974362,7410026
1630678974402,7410078
1630678974442,7410443
1630678974482,7409348
1630678974522,7409140
1630678974562,7408775
1630678974602,7408461
1630678974642,7408045
1630678974682,7407679
1630678974722,7407262
1630678974762,7407471
1630678974802,7407367
1630678974842,7407106
1630678974882,7406793
1630678974922,7405906
1630678974962,7405489
1630678975002,7406219
1630678975042,7405124
1630678975082,7405176
1630678975122,7405228
1630678975162,7404602
1630678975202,7404446
1630678975242,7404498
1630678975282,7404029
1630678975322,7402621
1630678975362,7401943
1630678975402,7401109
1630678975442,7400066
1630678975482,7398918
1630678975522,7398449
1630678975562,7397562
1630678975602,7397510
1630678975642,7396780
1630678975682,7396050
1630678975722,7394903
1630678975762,7393912
1630678975802,7393599
1630678975842,7393078
1630678975882,7393025
1630678975922,7393808
1630678975962,7394225
1630678976002,7396363
1630678976042,7397093
1630678976082,7398918
1630678976122,7400118
1630678976162,7401004
1630678976202,7402204
1630678976242,7404551
1630678976282,7406324
1630678976322,7408670
1630678976362,7410861
1630678976402,7413520
1630678976442,7415397
1630678976482,7416440
1630678976522,7416597
1630678976562,7416336
1630678976602,7415189
1630678976642,7414615
1630678976682,7414042
1630678976722,7414407
1630678976762,7413416
1630678976802,7412842
1630678976842,7412321
1630678976882,7410704
1630678976922,7409974
1630678976962,7409765
1630678977002,7410078
1630678977042,7409296
1630678977082,7407575
1630678977122,7406636
1630678977162,7407158
