timestamp,acc_magnitude,acc_peak,acc_peak_vertical_angle,acc_peak_horizontal_angle,ecg_amp_uncalibrated,ecg_noise_uncalibrated
1630678967442,0.01,0.04,2,-68,0.00208,6e-05
1630678968442,0.01,0.08,4,-76,0.00206,6e-05
1630678969442,0.02,0.03,1,-78,0.00206,6e-05
1630678970442,0.01,0.06,3,-71,0.00216,6e-05
1630678971442,0.02,0.06,4,-76,0.00216,6e-05
1630678972442,0.01,0.04,3,-76,0.00224,6e-05
1630678973442,0.02,0.06,4,-74,0.00224,6e-05
1630678974442,0.01,0.03,2,-82,0.00236,6e-05
1630678975442,0.02,0.06,3,-78,0.00236,6e-05
1630678976442,0.02,0.06,4,-76,0.00232,6e-05
1630678977442,0.02,0.04,3,-85,0.00232,6e-05
1630678978442,0.02,0.04,0,-88,0.00218,8e-05
1630678979442,0.01,0.03,2,-76,0.00218,8e-05
1630678980442,0.01,0.03,2,-85,0.00218,8e-05
1630678981442,0.01,0.03,1,-83,0.00218,8e-05
1630678982442,0.01,0.04,3,-80,0.0022,6e-05
1630678983442,0.02,0.04,3,-78,0.0022,6e-05
1630678984442,0.02,0.06,4,-76,0.00224,6e-05
1630678985442,0.01,0.03,3,-81,0.00224,6e-05
1630678986442,0.01,0.03,3,-71,0.0023,4e-05
1630678987442,0.01,0.03,2,-82,0.0023,6e-05
1630678988442,0.01,0.03,1,-68,0.0022,6e-05
1630678989442,0.01,0.04,3,-82,0.0022,8e-05
1630678990442,0.02,0.04,3,-78,0.0022,8e-05
1630678991442,0.01,0.06,3,-67,0.0022,8e-05
1630678992442,0.01,0.04,4,-78,0.00232,8e-05
1630678993442,0.02,0.06,3,-88,0.00232,6e-05
1630678994442,0.01,0.04,3,-76,0.00226,8e-05
1630678995442,0.01,0.03,2,-78,0.00226,8e-05
1630678996442,0.01,0.04,3,-78,0.00218,8e-05
1630678997442,0.01,0.03,2,-78,0.00218,6e-05
1630678998442,0.01,0.03,2,-72,0.00218,8e-05
1630678999442,0.01,0.04,2,-88,0.00218,6e-05
1630679000442,0.01,0.04,4,-76,0.00212,6e-05
1630679001442,0.01,0.04,1,-89,0.00212,6e-05
1630679002442,0.01,0.03,0,-67,0.00214,6e-05
1630679003442,0.01,0.03,2,-74,0.00214,6e-05
1630679004442,0.01,0.04,2,-82,0.0022,8e-05
1630679005442,0.01,0.03,2,-76,0.0022,6e-05
1630679006442,0.02,0.06,1,-90,0.00214,8e-05
1630679007442,0.01,0.04,2,-66,0.00214,6e-05
1630679008442,0.01,0.03,1,-86,0.00212,6e-05
1630679009442,0.01,0.04,0,-89,0.00212,6e-05
1630679010442,0.01,0.03,2,-82,0.0022,6e-05
1630679011442,0.01,0.03,1,-75,0.0022,6e-05
1630679012442,0.01,0.04,3,-80,0.00214,6e-05
1630679013442,0.01,0.04,3,-82,0.00214,6e-05
1630679014442,0.01,0.04,0,-64,0.0021,8e-05
1630679015442,0.01,0.04,2,-88,0.0021,6e-05
1630679016442,0.02,0.06,0,-94,0.00214,8e-05
1630679017442,0.01,0.04,0,-89,0.00214,6e-05
1630679018442,0.01,0.03,3,-76,0.00222,6e-05
1630679019442,0.01,0.03,1,-67,0.00222,6e-05
1630679020442,0.01,0.04,3,-76,0.0023,6e-05
1630679021442,0.01,0.04,1,-87,0.0023,8e-05
1630679022442,0.02,0.04,3,-80,0.00228,8e-05
1630679023442,0.01,0.03,2,-80,0.00228,8e-05
1630679024442,0.01,0.04,3,-82,0.00222,8e-05
1630679025442,0.01,0.03,0,-70,0.00222,8e-05
1630679026442,0.01,0.03,2,-82,0.00216,6e-05
1630679027442,0.01,0.06,3,-89,0.00216,6e-05
1630679028442,0.01,0.04,3,-80,0.00214,6e-05
1630679029442,0.01,0.04,3,-76,0.00214,6e-05
1630679030442,0.01,0.04,3,-82,0.00212,8e-05
1630679031442,0.01,0.03,2,-81,0.00212,0.0001
1630679032442,0.01,0.06,3,-71,0.00214,8e-05
1630679033442,0.02,0.06,3,-70,0.00214,8e-05
1630679034442,0.01,0.04,3,-78,0.00214,8e-05
1630679035442,0.01,0.04,0,-88,0.00214,6e-05
1630679036442,0.01,0.03,1,-72,0.00216,6e-05
1630679037442,0.01,0.03,2,-78,0.00216,6e-05
1630679038442,0.01,0.04,3,-82,0.00216,6e-05
1630679039442,0.01,0.04,4,-80,0.00216,8e-05
1630679040442,0.01,0.03,2,-80,0.00218,8e-05
1630679041442,0.01,0.07,5,-78,0.00218,6e-05
1630679042442,0.01,0.03,0,-86,0.00218,6e-05
1630679043442,0.01,0.03,3,-75,0.00218,6e-05
1630679044442,0.01,0.04,3,-78,0.00218,6e-05
1630679045442,0.01,0.04,3,-78,0.00218,6e-05
1630679046442,0.01,0.03,0,-83,0.00216,6e-05
1630679047442,0.01,0.04,3,-76,0.00216,6e-05
1630679048442,0.01,0.03,2,-82,0.00218,6e-05
1630679049442,0.01,0.06,2,-90,0.00218,6e-05
1630679050442,0.01,0.03,3,-80,0.00218,6e-05
1630679051442,0.01,0.03,2,-76,0.00218,6e-05
1630679052442,0.01,0.03,1,-86,0.00218,6e-05
1630679053442,0.01,0.03,3,-80,0.00218,6e-05
1630679054442,0.01,0.06,1,-61,0.00218,6e-05
1630679055442,0.01,0.03,3,-76,0.00218,8e-05
1630679056442,0.01,0.04,3,-80,0.00218,6e-05
1630679057442,0.01,0.03,2,-74,0.00218,6e-05
1630679058442,0.01,0.03,3,-78,0.00218,8e-05
1630679059442,0.02,0.03,2,-82,0.00218,8e-05
1630679060442,0.01,0.03,0,-89,0.00216,6e-05
1630679061442,0.01,0.03,2,-76,0.00216,6e-05
1630679062442,0.01,0.03,2,-76,0.00222,6e-05
1630679063442,0.01,0.04,3,-76,0.00222,8e-05
1630679064442,0.01,0.04,3,-71,0.00224,6e-05
1630679065442,0.01,0.04,3,-82,0.00224,8e-05
1630679066442,0.01,0.03,2,-76,0.00224,8e-05
1630679067442,0.01,0.03,2,-71,0.00224,6e-05
1630679068442,0.01,0.03,2,-82,0.00226,6e-05
1630679069442,0.01,0.03,1,-84,0.00226,6e-05
1630679070442,0.01,0.04,3,-78,0.0022,8e-05
1630679071442,0.01,0.04,3,-82,0.0022,8e-05
1630679072442,0.01,0.03,2,-82,0.00218,6e-05
1630679073442,0.01,0.03,2,-78,0.00218,8e-05
1630679074442,0.01,0.06,3,-85,0.00222,8e-05
1630679075442,0.01,0.04,1,-68,0.00222,6e-05
1630679076442,0.01,0.03,2,-76,0.00224,8e-05
1630679077442,0.01,0.03,2,-76,0.00224,6e-05
1630679078442,0.01,0.03,0,-86,0.00224,6e-05
1630679079442,0.01,0.04,3,-81,0.00224,6e-05
1630679080442,0.01,0.06,4,-70,0.00218,6e-05
1630679081442,0.02,0.04,3,-80,0.00218,6e-05
1630679082442,0.01,0.03,2,-80,0.00216,8e-05
1630679083442,0.01,0.03,2,-78,0.00216,6e-05
1630679084442,0.01,0.04,2,-71,0.0022,6e-05
1630679085442,0.01,0.03,3,-82,0.0022,6e-05
1630679086442,0.02,0.06,3,-78,0.00222,6e-05
1630679087442,0.01,0.04,2,-68,0.00222,6e-05
1630679088442,0.01,0.04,0,-67,0.0022,6e-05
1630679089442,0.01,0.03,2,-82,0.0022,6e-05
1630679090442,0.01,0.04,3,-78,0.00216,8e-05
1630679091442,0.01,0.04,0,-68,0.00216,6e-05
1630679092442,0.01,0.04,3,-78,0.0022,6e-05
1630679093442,0.01,0.03,2,-78,0.0022,8e-05
1630679094442,0.01,0.03,2,-78,0.0022,6e-05
1630679095442,0.01,0.06,4,-78,0.0022,6e-05
1630679096442,0.01,0.03,0,-88,0.0022,6e-05
1630679097442,0.01,0.04,3,-71,0.0022,8e-05
1630679098442,0.01,0.03,2,-82,0.00222,6e-05
1630679099442,0.01,0.04,3,-80,0.00222,6e-05
1630679100442,0.01,0.03,2,-74,0.0022,8e-05
1630679101442,0.01,0.04,4,-80,0.0022,8e-05
1630679102442,0.01,0.03,3,-87,0.00216,8e-05
1630679103442,0.01,0.03,1,-78,0.00216,6e-05
1630679104442,0.01,0.03,1,-71,0.00214,6e-05
1630679105442,0.01,0.03,0,-70,0.00214,8e-05
1630679106442,0.01,0.06,2,-93,0.00216,6e-05
1630679107442,0.01,0.04,3,-78,0.00216,6e-05
1630679108442,0.02,0.04,0,-67,0.00216,8e-05
1630679109442,0.01,0.04,1,-90,0.00216,6e-05
1630679110442,0.01,0.03,2,-72,0.00218,6e-05
1630679111442,0.01,0.03,2,-82,0.00218,6e-05
1630679112442,0.02,0.04,3,-78,0.0022,6e-05
1630679113442,0.01,0.03,4,-76,0.0022,6e-05
1630679114442,0.01,0.04,3,-78,0.00218,8e-05
1630679115442,0.01,0.03,3,-80,0.00218,8e-05
1630679116442,0.01,0.04,0,-91,0.00216,6e-05
1630679117442,0.01,0.04,2,-88,0.00216,6e-05
1630679118442,0.01,0.03,1,-75,0.0022,8e-05
1630679119442,0.01,0.04,3,-75,0.0022,6e-05
1630679120442,0.01,0.03,0,-88,0.00218,6e-05
1630679121442,0.01,0.04,0,-92,0.00218,8e-05
1630679122442,0.01,0.03,0,-88,0.00218,6e-05
1630679123442,0.01,0.06,1,-66,0.00218,6e-05
1630679124442,0.01,0.03,2,-78,0.00222,8e-05
1630679125442,0.01,0.04,3,-82,0.00222,6e-05
1630679126442,0.01,0.03,1,-71,0.0022,6e-05
1630679127442,0.01,0.03,4,-76,0.0022,8e-05
1630679128442,0.01,0.04,4,-78,0.00222,6e-05
1630679129442,0.01,0.03,2,-80,0.00222,6e-05
1630679130442,0.01,0.04,3,-71,0.00222,4e-05
1630679131442,0.02,0.04,0,-64,0.00222,8e-05
1630679132442,0.01,0.13,6,-78,0.00218,6e-05
1630679133442,0.02,0.03,2,-78,0.00218,6e-05
1630679134442,0.01,0.06,4,-78,0.00218,6e-05
1630679135442,0.01,0.03,1,-70,0.00218,8e-05
1630679136442,0.01,0.03,2,-78,0.00218,6e-05
1630679137442,0.01,0.03,1,-81,0.00218,6e-05
1630679138442,0.01,0.04,3,-81,0.0022,6e-05
1630679139442,0.01,0.03,2,-85,0.0022,6e-05
1630679140442,0.01,0.03,1,-75,0.00218,6e-05
1630679141442,0.01,0.04,4,-80,0.00218,6e-05
1630679142442,0.01,0.03,2,-82,0.00216,8e-05
1630679143442,0.01,0.09,4,-47,0.00216,6e-05
1630679144442,0.03,0.15,11,-97,0.00216,6e-05
1630679145442,0.18,0.32,25,86,0.00216,8e-05
1630679146442,0.16,0.18,22,53,0.00218,8e-05
1630679147442,0.08,0.1,22,85,0.00218,8e-05
1630679148442,0.02,0.03,21,67,0.00222,8e-05
1630679149442,0.01,0.03,20,20,0.00222,8e-05
1630679150442,0.01,0.03,11,12,0.0022,8e-05
1630679151442,0.01,0.03,21,24,0.0022,8e-05
1630679152442,0.01,0.03,21,44,0.00218,8e-05
1630679153442,0.01,0.03,20,35,0.00218,6e-05
1630679154442,0.01,0.03,9,12,0.00218,8e-05
1630679155442,0.01,0.04,19,80,0.00218,8e-05
1630679156442,0.01,0.04,13,12,0.00212,8e-05
1630679157442,0.02,0.06,17,39,0.00212,8e-05
1630679158442,0.02,0.04,16,102,0.00214,8e-05
1630679159442,0.02,0.04,13,-51,0.00214,0.0001
1630679160442,0.02,0.04,16,151,0.00216,8e-05
1630679161442,0.01,0.04,20,20,0.00216,8e-05
1630679162442,0.01,0.03,12,1,0.00218,8e-05
1630679163442,0.01,0.04,16,102,0.00218,6e-05
1630679164442,0.01,0.03,15,-78,0.00214,6e-05
1630679165442,0.01,0.03,14,12,0.00214,8e-05
1630679166442,0.01,0.04,14,-168,0.00218,8e-05
1630679167442,0.01,0.03,14,12,0.00218,8e-05
1630679168442,0.01,0.04,11,-7,0.00224,0.0001
1630679169442,0.01,0.03,19,22,0.00224,8e-05
1630679170442,0.01,0.03,12,-25,0.00222,8e-05
1630679171442,0.01,0.04,10,4,0.00222,8e-05
1630679172442,0.01,0.03,11,2,0.0022,8e-05
1630679173442,0.01,0.04,13,-105,0.0022,0.0001
1630679174442,0.02,0.07,10,-78,0.0022,8e-05
1630679175442,0.02,0.04,14,-127,0.0022,0.0001
1630679176442,0.03,0.12,4,-25,0.0022,0.0001
1630679177442,0.09,0.14,3,-54,0.0022,8e-05
1630679178442,0.04,0.06,19,20,0.00218,0.0001
1630679179442,0.02,0.04,12,-25,0.00218,8e-05
1630679180442,0.02,0.04,8,-46,0.00216,0.0001
1630679181442,0.02,0.07,7,-58,0.00216,8e-05
1630679182442,0.02,0.07,7,-47,0.0022,8e-05
1630679183442,0.02,0.06,7,-23,0.0022,0.0001
1630679184442,0.02,0.04,13,-22,0.00218,8e-05
1630679185442,0.01,0.03,12,-25,0.00218,8e-05
1630679186442,0.01,0.03,7,-3,0.00214,8e-05
1630679187442,0.01,0.03,12,-2,0.00214,8e-05
1630679188442,0.01,0.06,13,-7,0.00212,8e-05
1630679189442,0.02,0.03,13,-7,0.00212,0.0001
1630679190442,0.01,0.06,13,-15,0.0022,8e-05
1630679191442,0.02,0.04,8,-32,0.0022,8e-05
1630679192442,0.02,0.04,11,-51,0.00222,0.0001
1630679193442,0.02,0.03,12,-32,0.00222,8e-05
1630679194442,0.02,0.04,9,0,0.00212,6e-05
1630679195442,0.02,0.09,7,-63,0.00212,8e-05
1630679196442,0.01,0.03,9,-15,0.00214,8e-05
1630679197442,0.01,0.02,12,-10,0.00214,8e-05
1630679198442,0.03,0.09,9,-72,0.00214,8e-05
1630679199442,0.04,0.06,9,-64,0.00214,8e-05
1630679200442,0.02,0.04,9,-2,0.00212,8e-05
1630679201442,0.03,0.12,6,-92,0.00212,8e-05
