timestamp,green,ir,red
1630678967008,55162,340451,310618
1630678967018,55132,340381,310636
1630678967028,55107,340307,310639
1630678967038,55097,340290,310673
1630678967048,55069,340281,310638
1630678967058,55049,340204,310641
1630678967068,55029,340250,310649
1630678967078,54997,340175,310648
1630678967088,54976,340162,310672
1630678967098,54974,340149,310654
1630678967108,54959,340112,310707
1630678967118,54965,340156,310732
1630678967128,54949,340168,310773
1630678967138,54950,340160,310783
1630678967148,54942,340154,310814
1630678967158,54937,340111,310774
1630678967168,54939,340115,310830
1630678967178,54949,340148,310910
1630678967188,54939,340151,310921
1630678967198,54953,340122,310980
1630678967208,54980,340150,311059
1630678967218,55024,340186,311157
1630678967228,55070,340234,311314
1630678967238,55129,340255,311425
1630678967248,55168,340380,311542
1630678967258,55203,340433,311609
1630678967268,55228,340423,311700
1630678967278,55253,340492,311760
1630678967288,55261,340460,311799
1630678967298,55262,340504,311828
1630678967308,55267,340467,311820
1630678967318,55241,340427,311820
1630678967328,55193,340426,311777
1630678967338,55167,340398,311717
1630678967348,55114,340363,311656
1630678967358,55062,340297,311532
1630678967368,55003,340244,311455
1630678967378,54963,340179,311367
1630678967388,54904,340126,311295
1630678967398,54870,340066,311256
1630678967408,54857,340060,311161
1630678967418,54822,339972,311121
1630678967428,54766,339906,311057
1630678967438,54751,339875,310975
1630678967448,54714,339823,310909
1630678967458,54689,339778,310846
1630678967468,54660,339689,310757
1630678967478,54613,339621,310637
1630678967488,54573,339416,310348
1630678967498,54527,339293,310177
1630678967508,54489,339143,309938
1630678967518,54462,338962,309733
1630678967528,54439,338797,309562
1630678967538,54419,338628,309454
1630678967548,54384,338580,309395
1630678967558,54368,338441,309311
1630678967568,54379,338358,309254
1630678967578,54330,338239,309183
1630678967588,54291,338160,309108
1630678967598,54278,338084,309020
1630678967608,54240,338056,308972
1630678967618,54198,337963,309021
1630678967628,54195,337969,309035
1630678967638,54175,337910,309021
1630678967648,54148,337920,309021
1630678967658,54128,337882,308957
1630678967668,54097,337858,308965
1630678967678,54054,337804,308944
1630678967688,54041,337703,308964
1630678967698,54007,337719,308967
1630678967708,53971,337635,308908
1630678967718,53947,337667,308885
1630678967728,53920,337608,308807
1630678967738,53882,337526,308801
1630678967748,53852,337548,308761
1630678967758,53839,337495,308732
1630678967768,53814,337526,308646
1630678967778,53785,337479,308575
1630678967788,53773,337388,308512
1630678967798,53739,337315,308441
1630678967808,53716,337227,308302
1630678967818,53684,337157,308168
1630678967828,53653,337146,308148
1630678967838,53622,337081,308050
1630678967848,53616,336993,307954
1630678967858,53618,336890,307918
1630678967868,53609,336875,307802
1630678967878,53597,336922,307823
1630678967888,53607,336865,307794
1630678967898,53629,336832,307791
1630678967908,53633,336883,307857
1630678967918,53648,336864,307816
1630678967928,53654,336868,307857
1630678967938,53673,336868,307875
1630678967948,53682,336873,307876
1630678967958,53700,336851,307879
1630678967968,53691,336892,307874
1630678967978,53684,336911,307869
1630678967988,53676,336850,307861
1630678967998,53680,336876,307833
1630678968008,53671,336847,307801
1630678968018,53689,336791,307776
1630678968028,53683,336804,307815
1630678968038,53677,336806,307739
1630678968048,53683,336772,307732
1630678968058,53689,336786,307689
1630678968068,53691,336765,307677
1630678968078,53684,336743,307659
1630678968088,53698,336752,307641
1630678968098,53694,336776,307619
1630678968108,53694,336741,307607
1630678968118,53699,336721,307600
1630678968128,53707,336761,307611
1630678968138,53709,336755,307548
1630678968148,53720,336776,307582
1630678968158,53730,336821,307581
1630678968168,53746,336738,307575
1630678968178,53776,336765,307608
1630678968188,53792,336792,307626
1630678968198,53802,336703,307626
1630678968208,53818,336747,307648
1630678968218,53797,336668,307633
1630678968228,53795,336711,307614
1630678968238,53795,336630,307660
1630678968248,53782,336570,307694
1630678968258,53772,336550,307695
1630678968268,53777,336600,307722
1630678968278,53785,336595,307780
1630678968288,53794,336578,307765
1630678968298,53782,336547,307794
1630678968308,53787,336602,307819
1630678968318,53805,336551,307860
1630678968328,53810,336569,307898
1630678968338,53794,336556,307884
1630678968348,53784,336497,307865
1630678968358,53772,336540,307901
1630678968368,53767,336500,307832
1630678968378,53756,336467,307803
1630678968388,53725,336467,307798
1630678968398,53713,336443,307803
1630678968408,53712,336468,307762
1630678968418,53697,336443,307759
1630678968428,53704,336415,307758
1630678968438,53707,336458,307775
1630678968448,53719,336442,307755
1630678968458,53739,336464,307814
1630678968468,53761,336463,307843
1630678968478,53780,336493,307868
1630678968488,53789,336507,307920
1630678968498,53812,336466,307920
1630678968508,53824,336488,307944
1630678968518,53837,336489,307973
1630678968528,53877,336496,308021
1630678968538,53888,336530,308062
1630678968548,53894,336514,308124
1630678968558,53897,336482,308110
1630678968568,53902,336502,308142
1630678968578,53912,336524,308141
1630678968588,53891,336479,308105
1630678968598,53896,336455,308055
1630678968608,53889,336493,308047
1630678968618,53886,336454,307972
1630678968628,53877,336461,307940
1630678968638,53861,336481,307861
1630678968648,53849,336461,307821
1630678968658,53835,336480,307748
1630678968668,53827,336420,307718
1630678968678,53850,336453,307698
1630678968688,53853,336472,307682
1630678968698,53867,336481,307712
1630678968708,53901,336476,307747
1630678968718,53947,336558,307749
1630678968728,53978,336547,307774
1630678968738,53990,336557,307834
1630678968748,54012,336601,307885
1630678968758,54018,336658,307871
1630678968768,54037,336670,307877
1630678968778,54043,336643,307851
1630678968788,54050,336699,307844
1630678968798,54061,336697,307845
1630678968808,54068,336656,307795
1630678968818,54067,336729,307773
1630678968828,54078,336720,307721
1630678968838,54076,336704,307695
1630678968848,54076,336736,307657
1630678968858,54082,336730,307606
1630678968868,54095,336729,307593
1630678968878,54117,336715,307575
1630678968888,54124,336694,307499
1630678968898,54108,336652,307433
1630678968908,54113,336674,307409
1630678968918,54134,336651,307370
1630678968928,54152,336616,307329
1630678968938,54158,336604,307339
1630678968948,54148,336509,307282
1630678968958,54173,336460,307306
1630678968968,54184,336497,307264
1630678968978,54188,336438,307249
1630678968988,54187,336485,307257
1630678968998,54195,336365,307289
1630678969008,54201,336421,307256
1630678969018,54203,336381,307286
1630678969028,54185,336378,307258
1630678969038,54212,336390,307273
1630678969048,54194,336373,307236
1630678969058,54186,336359,307205
1630678969068,54180,336320,307161
1630678969078,54171,336305,307144
1630678969088,54176,336336,307130
1630678969098,54174,336295,307151
1630678969108,54168,336297,307122
1630678969118,54166,336355,307087
1630678969128,54168,336345,307086
1630678969138,54163,336363,307096
1630678969148,54186,336337,307100
1630678969158,54196,336372,307102
1630678969168,54199,336354,307100
1630678969178,54212,336384,307098
1630678969188,54207,336404,307096
1630678969198,54217,336426,307148
1630678969208,54236,336379,307127
1630678969218,54257,336464,307210
1630678969228,54269,336533,307188
1630678969238,54275,336489,307210
1630678969248,54292,336522,307271
1630678969258,54287,336556,307257
1630678969268,54288,336579,307264
1630678969278,54308,336593,307281
1630678969288,54323,336638,307344
1630678969298,54335,336632,307333
1630678969308,54342,336615,307315
1630678969318,54344,336642,307316
1630678969328,54369,336659,307314
1630678969338,54395,336678,307274
1630678969348,54413,336646,307288
1630678969358,54439,336659,307277
1630678969368,54444,336705,307283
1630678969378,54469,336715,307269
1630678969388,54504,336717,307256
1630678969398,54539,336757,307228
1630678969408,54558,336756,307234
1630678969418,54590,336790,307274
1630678969428,54620,336802,307210
1630678969438,54627,336805,307229
1630678969448,54647,336829,307261
1630678969458,54667,336912,307193
1630678969468,54695,336854,307203
1630678969478,54723,336895,307209
1630678969488,54721,336880,307179
