timestamp,green,ir,red
1630679468142,57566,57815,57849
1630679468152,64767,90589,90628
1630679468162,64703,123367,123403
1630679468172,64746,156139,156179
1630679468182,64705,188922,188944
1630679468192,64590,221711,221580
1630679468202,64412,254280,254324
1630679468212,64266,286913,286919
1630679468222,64109,317885,299878
1630679468232,63989,317166,299382
1630679468242,63901,316585,299000
1630679468252,63812,315926,298631
1630679468262,63761,315519,298380
1630679468272,63732,315257,298238
1630679468282,63704,314955,298031
1630679468292,63701,314801,297969
1630679468302,63676,314608,297932
1630679468312,63645,314356,297785
1630679468322,63627,314140,297752
1630679468332,63645,314101,297840
1630679468342,63644,314180,297935
1630679468352,63706,314580,298176
1630679468362,63779,315154,298417
1630679468372,63920,315861,298790
1630679468382,64009,316129,299051
1630679468392,64019,315967,299125
1630679468402,64018,315508,299077
1630679468412,64047,315370,299306
1630679468422,64149,315430,299631
1630679468432,64228,315732,299744
1630679468442,64446,316654,300371
1630679468452,64604,317038,300618
1630679468462,64734,316785,301102
1630679468472,64901,316102,301423
1630679468482,64710,313713,300244
1630679468492,64360,310724,298427
1630679468502,63913,307836,296322
1630679468512,63653,306714,295176
1630679468522,63507,306016,294578
1630679468532,63276,305202,293670
1630679468542,63116,304471,292931
1630679468552,62844,303407,291724
1630679468562,62553,302166,290374
1630679468572,62211,300815,288972
1630679468582,61888,299676,287727
1630679468592,61666,298851,286775
1630679468602,61469,298069,286013
1630679468612,61300,297440,285464
1630679468622,61149,296790,284923
1630679468632,60968,296107,284228
1630679468642,60728,295166,283372
1630679468652,60467,294087,282286
1630679468662,60224,293005,281264
1630679468672,60027,292117,280409
1630679468682,59827,291361,279683
1630679468692,59690,290798,279146
1630679468702,59571,290318,278700
1630679468712,59436,289781,278278
1630679468722,59348,289371,277941
1630679468732,59275,288970,277762
1630679468742,59233,288860,277670
1630679468752,59245,288985,277811
1630679468762,59300,289422,278171
1630679468772,59510,290429,279064
1630679468782,59924,292475,280761
1630679468792,60355,294475,282388
1630679468802,60699,295318,283630
1630679468812,60859,294935,284315
1630679468822,61043,294645,285016
1630679468832,61100,294316,285330
1630679468842,61180,294328,285786
1630679468852,61488,295848,287111
1630679468862,61812,297638,288459
1630679468872,62047,298612,289560
1630679468882,62425,299414,291142
1630679468892,62501,299195,291483
1630679468902,62456,298827,291195
1630679468912,62304,298240,290554
1630679468922,62086,297279,289644
1630679468932,61902,296542,288814
1630679468942,61734,295920,288147
1630679468952,61545,295259,287279
1630679468962,61325,294504,286396
1630679468972,61011,293372,285151
1630679468982,60690,292258,283914
1630679468992,60457,291524,282966
1630679469002,60269,290811,282334
1630679469012,59994,289899,280997
1630679469022,59666,288830,279714
1630679469032,59311,288062,278745
1630679469042,59119,287217,277496
1630679469052,58827,286216,276489
1630679469062,58551,285204,275363
1630679469072,58330,284062,273975
1630679469082,58101,282971,272984
1630679469092,57763,281258,271388
1630679469102,57391,279157,269462
1630679469112,57138,277396,268405
1630679469122,57547,278279,269911
1630679469132,57229,276555,268101
1630679469142,56840,274709,266370
1630679469152,56555,273371,265179
1630679469162,56261,272274,263923
1630679469172,55931,271032,262618
1630679469182,55731,270432,261789
1630679469192,55536,269810,261039
1630679469202,55405,269138,260557
1630679469212,55171,267557,259441
1630679469222,54570,264505,256818
1630679469232,54221,263211,255782
1630679469242,54230,263353,255831
1630679469252,54151,263067,255402
1630679469262,54066,262582,254970
1630679469272,53748,260271,253169
1630679469282,53233,256819,251057
1630679469292,53118,254740,250748
1630679469302,53149,253434,250956
1630679469312,53068,252091,250421
1630679469322,52767,250676,249438
1630679469332,52443,249465,248284
1630679469342,52219,248678,247504
1630679469352,51928,247654,246406
1630679469362,51567,246219,244942
1630679469372,50970,243984,242635
1630679469382,50339,241751,240142
1630679469392,49869,240187,238419
1630679469402,49512,239099,237115
1630679469412,49202,238162,235994
1630679469422,48954,237562,235050
1630679469432,48804,237423,234482
1630679469442,48673,237289,233925
1630679469452,48557,237309,233608
1630679469462,48399,237132,232996
1630679469472,48231,236641,232309
1630679469482,48000,236078,231208
1630679469492,47203,233024,227407
1630679469502,45772,227310,220870
1630679469512,44629,222561,216091
1630679469522,44159,220620,214176
1630679469532,43896,219427,212934
1630679469542,43653,218318,211929
1630679469552,43568,217791,211560
1630679469562,43541,217575,211392
1630679469572,43563,217694,211539
1630679469582,43610,217984,211878
1630679469592,43917,219318,213281
1630679469602,44493,221499,216083
1630679469612,45924,226089,222898
1630679469622,47510,229988,229475
1630679469632,47122,227031,227725
1630679469642,46079,222449,223801
1630679469652,45011,218075,219685
1630679469662,44412,215793,217809
1630679469672,44714,216985,219172
1630679469682,44734,217101,219155
1630679469692,44966,217597,220066
1630679469702,44797,216856,219575
1630679469712,44569,215992,218782
1630679469722,44553,215928,218903
1630679469732,44630,216253,219348
1630679469742,44795,216860,220097
1630679469752,44941,217488,220792
1630679469762,45066,218001,221275
1630679469772,45107,218313,221396
1630679469782,45326,219421,222336
1630679469792,45711,221094,223926
1630679469802,45952,222302,224638
1630679469812,45895,222451,223855
1630679469822,45371,220865,221210
1630679469832,44523,217896,217151
1630679469842,43287,213593,211604
1630679469852,42050,209122,206423
1630679469862,41019,205262,201890
1630679469872,40143,201875,198162
1630679469882,39838,199930,196239
1630679469892,39494,198432,194797
1630679469902,39191,197115,193530
1630679469912,39008,196365,192851
1630679469922,38791,195430,191850
1630679469932,38386,193773,190033
1630679469942,38158,192941,189242
1630679469952,37963,192185,188321
1630679469962,37730,191453,187522
1630679469972,37636,191193,187107
1630679469982,37488,190806,186487
