timestamp,green,ir,red
1630679468163,21290,57482,57492
1630679468173,21605,89920,85756
1630679468183,21903,93286,86999
1630679468193,22193,95190,88429
1630679468203,22464,96849,89709
1630679468213,22675,98098,90681
1630679468223,22855,99177,91546
1630679468233,23075,100462,92652
1630679468243,23319,101729,93735
1630679468253,23520,102888,94764
1630679468263,23625,103491,95332
1630679468273,23645,103579,95514
1630679468283,23639,103556,95518
1630679468293,23613,103475,95449
1630679468303,23586,103456,95443
1630679468313,23627,103788,95735
1630679468323,23709,104332,96220
1630679468333,23794,104827,96653
1630679468343,23780,104798,96618
1630679468353,23564,103382,95374
1630679468363,22981,99608,92298
1630679468373,22232,95029,88770
1630679468383,21815,92762,87145
1630679468393,21785,92528,87059
1630679468403,21956,93450,87915
1630679468413,22155,94686,88957
1630679468423,22240,95146,89267
1630679468433,22068,94120,88347
1630679468443,21642,91514,86203
1630679468453,21079,87980,83468
1630679468463,20637,85192,81437
1630679468473,20474,84204,80804
1630679468483,20479,84447,80909
1630679468493,20459,84458,80799
1630679468503,20452,84439,80728
1630679468513,20470,84529,80798
1630679468523,20560,85147,81286
1630679468533,20744,86227,82112
1630679468543,20949,87527,83098
1630679468553,21190,88983,84227
1630679468563,21416,90408,85319
1630679468573,21597,91483,86112
1630679468583,21733,92273,86753
1630679468593,21898,93289,87614
1630679468603,22125,94587,88670
1630679468613,22399,96354,90143
1630679468623,22647,97924,91452
1630679468633,22891,99431,92729
1630679468643,23079,100601,93708
1630679468653,23246,101618,94564
1630679468663,23345,102290,95099
1630679468673,23426,102701,95456
1630679468683,23458,102930,95695
1630679468693,23499,103174,95906
1630679468703,23550,103431,96147
1630679468713,23618,103860,96557
1630679468723,23729,104541,97164
1630679468733,23811,104986,97568
1630679468743,23822,105011,97621
1630679468753,23752,104588,97270
1630679468763,23638,103897,96728
1630679468773,23325,101912,95044
1630679468783,22729,98256,92080
1630679468793,22142,94980,89603
1630679468803,22000,94450,89249
1630679468813,22046,94675,89410
1630679468823,22054,94755,89505
