trialStartTime,trialEndTime,stimulus,correctResponse,participantResponse,isCorrectResponse,responseTime,thisBlockTrialNumber,measurementBlock
393.4557228,393.9611403,K,None,None,1,,0,0
395.965526,396.461215,R,None,None,1,,1,0
398.4637109,398.961036,B,None,None,1,,2,0
400.9643359,401.4611511,H,None,None,1,,3,0
403.4645639,403.9611227,B,m,m,1,1.784681242,4,0
405.9637874,406.4608429,X,None,None,1,,5,0
408.4479646,408.9609877,F,None,None,1,,6,0
410.9632081,411.4609814,Q,None,None,1,,7,0
413.4639451,413.9609232,M,None,None,1,,8,0
415.9639735,416.4607157,Q,m,m,1,0.93163229,9,0
418.4625007,418.9607945,H,None,None,1,,10,0
420.9629689,421.4607944,R,None,None,1,,11,0
423.4628287,423.9607634,Q,None,m,0,0.874530362,12,0
425.9617711,426.4606974,F,None,None,1,,13,0
428.4628635,428.9606251,B,None,None,1,,14,0
430.962934,431.460609,F,m,m,1,0.792274696,15,0
433.4617416,433.9606963,K,None,None,1,,16,0
435.9628765,436.4605809,X,None,None,1,,17,0
438.463257,438.9601231,K,m,m,1,0.449463109,18,0
440.9615171,441.4605533,M,None,None,1,,19,0
828.6451653,829.155399,B,None,None,1,,0,1
831.1584689,831.6550848,M,None,None,1,,1,1
833.6413238,834.1546939,F,None,None,1,,2,1
836.1573675,836.6553189,R,None,None,1,,3,1
838.6574519,839.1546925,H,None,None,1,,4,1
841.1573636,841.6551657,R,m,m,1,0.929191378,5,1
843.6583099,844.1551545,K,None,None,1,,6,1
846.157329,846.6551242,Q,None,None,1,,7,1
848.6585,849.1551063,X,None,None,1,,8,1
851.1560345,851.6551272,M,None,None,1,,9,1
853.6559821,854.1549696,Q,None,m,0,1.017930505,10,1
856.1571023,856.6549263,M,m,m,1,1.650766024,11,1
858.657361,859.1544353,K,None,None,1,,12,1
861.1557935,861.6549338,R,None,None,1,,13,1
863.6582819,864.154835,X,None,None,1,,14,1
866.157321,866.654937,B,None,None,1,,15,1
868.654542,869.1547498,X,m,m,1,0.864753698,16,1
871.1576909,871.6547141,H,None,None,1,,17,1
873.6575241,874.1542026,F,None,None,1,,18,1
876.1554463,876.6546529,H,m,m,1,0.614553996,19,1
1429.718828,1430.22107,X,None,None,1,,0,2
1432.210458,1432.72153,M,None,None,1,,1,2
1434.718844,1435.221001,Q,None,None,1,,2,2
1437.208338,1437.7214,R,None,None,1,,3,2
1439.707503,1440.221414,B,None,None,1,,4,2
1442.207969,1442.721333,H,None,None,1,,5,2
1444.707579,1445.2214,B,m,m,1,0.895778287,6,2
1447.207577,1447.721272,F,None,None,1,,7,2
1449.707605,1450.221167,K,None,None,1,,8,2
1452.207545,1452.721166,Q,None,None,1,,9,2
1454.707644,1455.221144,K,m,m,1,1.351306049,10,2
1457.207226,1457.721134,B,None,None,1,,11,2
1459.72386,1460.221071,R,None,None,1,,12,2
1462.221815,1462.720995,X,None,None,1,,13,2
1464.723749,1465.221043,R,m,m,1,1.727687535,14,2
1467.221756,1467.721032,H,None,None,1,,15,2
1469.722692,1470.220932,F,None,None,1,,16,2
1472.223181,1472.721,H,m,m,1,0.554175729,17,2
1474.724088,1475.220471,M,None,None,1,,18,2
1477.219062,1477.721064,K,None,None,1,,19,2
