trialStartTime,trialNumber,repNumber,stimulusStartTime,stimulusQuadrant,stimulus,correctResponse,participantResponse,isCorrectResponse,responseTime
1079.650664,0,0,1079.794602,1,A7,m,m,1,1.924748937
1081.747209,1,0,1081.877819,2,U7,m,m,1,2.774397673
1084.676032,2,0,1084.813331,3,G5,m,m,1,1.720879655
1086.561756,3,0,1086.69632,4,E8,c,c,1,1.544716034
1088.261527,4,1,1088.394292,1,E8,m,m,1,1.224884787
1089.646715,5,1,1089.779927,2,R2,c,c,1,0.791105249
1090.595369,6,1,1090.728311,3,G6,c,c,1,2.149643987
1092.913131,7,1,1093.04685,4,E2,c,c,1,0.715003251
1093.778377,8,2,1093.911711,1,M5,c,c,1,1.005092614
1094.943077,9,2,1095.076437,2,U7,m,m,1,1.107326971
1096.211652,10,2,1096.344439,3,M6,c,m,0,1.161218693
1097.528305,11,2,1097.661021,4,G3,m,m,1,1.106617143
1098.791758,12,3,1098.927599,1,K7,c,c,1,1.830906442
1100.778342,13,3,1100.911725,2,U3,m,m,1,0.767701153
1101.710636,14,3,1101.843754,3,K3,m,c,0,1.962712805
1103.824345,15,3,1103.99536,4,M5,m,m,1,0.9361229
1104.958924,16,4,1105.091742,1,G5,c,c,1,1.75773223
1106.877564,17,4,1107.011295,2,R9,c,c,1,1.183857679
1108.225909,18,4,1108.363626,3,R4,c,c,1,1.554516455
1109.944198,19,4,1110.077129,4,M4,c,c,1,0.542117795
1110.644453,20,5,1110.77696,1,M6,c,c,1,1.692150787
1112.491985,21,5,1112.630713,2,G4,c,c,1,1.128353076
1113.778425,22,5,1113.913038,3,U6,c,c,1,1.375093811
1115.311145,23,5,1115.444969,4,I5,m,m,1,1.640825148
1117.111972,24,6,1117.234164,1,R9,c,c,1,1.853627064
1119.111498,25,6,1119.244548,2,K3,c,c,1,1.195145659
1120.462915,26,6,1120.594413,3,M9,m,m,1,1.61573191
1122.228223,27,6,1122.360456,4,U6,c,c,1,0.837271358
1123.22721,28,7,1123.3626,1,A8,m,m,1,1.457887919
1124.845098,29,7,1124.978194,2,G5,c,c,1,0.708352854
1125.71148,30,7,1125.844619,3,U2,c,c,1,1.735794867
1127.61187,31,7,1127.745204,4,M2,c,c,1,0.520158462
1128.305842,32,8,1128.428579,1,R4,c,c,1,4.021628838
1132.478114,33,8,1132.610942,2,A8,m,m,1,0.899187213
1133.527876,34,8,1133.660451,3,M8,c,c,1,1.277699935
1134.95933,35,8,1135.095344,4,E2,c,c,1,0.472790184
1135.591106,36,9,1135.723828,1,K9,c,c,1,3.544223228
1139.293025,37,9,1139.430233,2,E7,m,m,1,2.823594471
1142.276958,38,9,1142.410884,3,A7,m,c,0,2.149874304
1144.594821,39,9,1144.726166,4,E9,m,m,1,0.655619117
1145.410676,40,10,1145.543906,1,E7,m,m,1,1.448664058
1147.029089,41,10,1147.160669,2,K7,c,c,1,1.352744331
1148.544763,42,10,1148.677949,3,R3,m,m,1,1.487618975
1150.193516,43,10,1150.33881,4,I9,m,m,1,0.769788834
1151.125507,44,11,1151.257335,1,I7,m,m,1,1.586196283
1152.860551,45,11,1152.992675,2,K5,c,c,1,1.898671126
1154.911121,46,11,1155.043945,3,K9,m,m,1,0.887382792
1155.959456,47,11,1156.09843,4,U2,c,c,1,0.694608156
1156.823862,48,12,1156.957221,1,M5,c,c,1,1.132954786
1158.110076,49,12,1158.230942,2,K3,c,c,1,1.898209459
1160.158129,50,12,1160.292561,3,G8,c,c,1,0.931429744
1161.242999,51,12,1161.377582,4,M5,m,m,1,0.744411228
1162.144048,52,13,1162.277713,1,R8,c,c,1,1.044137133
1163.344107,53,13,1163.478458,2,M3,c,c,1,0.702466378
1164.212303,54,13,1164.34428,3,A2,c,c,1,1.076519633
1165.443048,55,13,1165.577338,4,I4,c,c,1,0.994426703
1166.595427,56,14,1166.728746,1,I5,m,m,1,1.998910607
1168.762291,57,14,1168.894687,2,K3,c,c,1,0.794901885
1169.710397,58,14,1169.844658,3,G9,m,m,1,1.046952842
1170.928863,59,14,1171.056754,4,I4,c,c,1,0.643822138
1171.729856,60,15,1171.858673,1,K9,c,c,1,1.502756279
1173.39298,61,15,1173.52687,2,K6,c,c,1,0.673624989
1174.226434,62,15,1174.357155,3,K6,c,c,1,1.075376327
1175.459318,63,15,1175.593339,4,R6,c,c,1,0.693980647
1176.310714,64,16,1176.443961,1,G4,c,c,1,1.114322427
1177.577801,65,16,1177.710866,2,M3,c,c,1,0.487406955
1178.226351,66,16,1178.359159,3,A6,c,c,1,1.133148721
1179.511615,67,16,1179.645759,4,I2,c,c,1,0.47236664
1180.148344,68,17,1180.277324,1,I2,m,m,1,2.080928737
1182.396258,69,17,1182.526828,2,U8,m,m,1,0.626366151
1183.177591,70,17,1183.312687,3,R5,m,m,1,1.802373092
1185.145093,71,17,1185.276631,4,R8,c,c,1,0.824320091
1186.126558,72,18,1186.259845,1,G3,c,c,1,1.146012824
1187.428655,73,18,1187.557042,2,G3,c,c,1,0.509805864
1188.091741,74,18,1188.226629,3,I8,c,c,1,1.83714613
1190.092925,75,18,1190.228181,4,E6,c,c,1,0.627511945
1190.877285,76,19,1191.010275,1,E7,m,m,1,2.34942569
1193.392506,77,19,1193.528241,2,G9,c,c,1,0.636592924
1194.192737,78,19,1194.328934,3,U9,m,m,1,1.488577222
1195.843941,79,19,1195.977901,4,I9,m,m,1,0.47353176
1196.477497,80,20,1196.610051,1,I5,m,m,1,1.331425928
1197.959689,81,20,1198.093939,2,R8,c,c,1,1.060451063
1199.177141,82,20,1199.310073,3,U4,c,c,1,2.179286084
1201.510458,83,20,1201.643276,4,M7,m,m,1,0.927987751
1202.594105,84,21,1202.72579,1,K7,c,c,1,0.999558818
1203.762528,85,21,1203.892857,2,R3,c,c,1,0.49230938
1204.410749,86,21,1204.543193,3,E2,c,c,1,4.616913842
1209.195762,87,21,1209.323324,4,E9,m,m,1,0.654670542
1210.010308,88,22,1210.143697,1,M9,c,c,1,1.201292389
1211.377706,89,22,1211.508909,2,U2,m,m,1,0.571337858
1212.111153,90,22,1212.243917,3,G5,m,m,1,1.089868576
1213.359348,91,22,1213.494976,4,K4,c,c,1,0.594732749
1214.110721,92,23,1214.243773,1,G3,c,c,1,0.8280156
1215.109555,93,23,1215.226906,2,G7,c,c,1,0.614710931
1215.860538,94,23,1215.991638,3,G9,m,m,1,0.766066995
1216.777192,95,23,1216.910961,4,K3,m,m,1,0.489627558
1217.429073,96,24,1217.561871,1,K2,c,c,1,1.032689623
1218.626579,97,24,1218.761464,2,I5,m,m,1,0.972008943
1219.759913,98,24,1219.89276,3,A7,m,m,1,1.495701018
1221.410088,99,24,1221.543759,4,I7,m,m,1,0.52669225
1222.093302,100,25,1222.228464,1,A7,m,m,1,0.949909756
1223.210803,101,25,1223.344142,2,U4,m,m,1,0.719188796
1224.092831,102,25,1224.228308,3,G2,c,c,1,1.103085944
1225.358941,103,25,1225.504475,4,U5,m,m,1,0.785755578
1226.310016,104,26,1226.443431,1,E9,m,m,1,1.113768336
1227.576867,105,26,1227.71094,2,A6,m,m,1,1.390201065
1229.126514,106,26,1229.261008,3,I3,m,m,1,0.652000644
1229.94384,107,26,1230.07678,4,I7,m,m,1,1.462314745
1231.55674,108,27,1231.695132,1,A2,m,m,1,1.229831837
1232.958862,109,27,1233.094282,2,I9,m,m,1,0.634662705
1233.761319,110,27,1233.893984,3,K2,c,c,1,1.129981865
1235.061328,111,27,1235.194639,4,K7,m,m,1,0.641161903
1235.861408,112,28,1236.004415,1,U5,m,m,1,0.965323195
1236.993214,113,28,1237.125492,2,M2,c,c,1,0.655304293
1237.811239,114,28,1237.943303,3,K3,m,m,1,1.197442394
1239.175544,115,28,1239.294021,4,U5,m,m,1,0.468650107
1239.795457,116,29,1239.928098,1,M7,c,c,1,1.351460249
1241.309761,117,29,1241.443278,2,R4,c,c,1,0.674747352
1242.14202,118,29,1242.276774,3,I2,c,c,1,0.740745745
1243.042008,119,29,1243.175485,4,U3,m,m,1,0.640126051
1243.844384,120,30,1243.975366,1,E5,m,m,1,1.502004914
1245.51064,121,30,1245.643555,2,A9,m,m,1,0.45285581
1246.125359,122,30,1246.259189,3,A5,m,m,1,0.624176288
1246.91002,123,30,1247.043014,4,G3,m,m,1,0.75037558
