timestamp,battery_level_muse,battery_voltage_muse,adc_voltage_muse,temperature_muse
1630678975019,3000,3113,-1,0
1630678984948,3000,3115,-1,0
1630678995161,3000,3115,-1,0
1630679015225,0,0,-1,0
1630679015225,3000,3115,-1,0
1630679034744,0,0,-1,0
1630679034744,3500,3117,-1,0
1630679044902,3000,3115,-1,0
1630679055291,3000,3113,-1,0
1630679064935,3000,3110,-1,0
1630679075098,3000,3113,-1,0
1630679084896,3000,3104,-1,0
1630679094803,3000,3115,-1,0
1630679105385,3000,3113,-1,0
1630679145028,0,0,-1,0
1630679145028,0,0,-1,0
1630679145028,0,0,-1,0
1630679145044,3000,3113,-1,0
1630679165268,3000,3113,-1,0
1630679165268,0,0,-1,0
1630679175149,3000,3113,-1,0
1630679185158,3000,3113,-1,0
1630679204868,3000,3108,-1,0
1630679204868,0,0,-1,0
1630679215213,3000,3113,-1,0
1630679225096,3000,3108,-1,0
1630679235073,3000,3113,-1,0
1630679245088,3000,3106,-1,0
1630679255186,3000,3115,-1,0
1630679275065,3000,3115,-1,0
1630679275065,0,0,-1,0
1630679285084,3000,3110,-1,0
1630679294990,3000,3110,-1,0
1630679305233,3000,3113,-1,0
1630679314953,3000,3110,-1,0
1630679325519,3000,3108,-1,0
1630679335114,3000,3110,-1,0
1630679345154,3000,3113,-1,0
1630679355039,3000,3110,-1,0
1630679365576,3000,3110,-1,0
1630679375293,3000,3108,-1,0
1630679384989,2500,3077,-1,0
1630679395175,3000,3106,-1,0
1630679405012,3000,3108,-1,0
1630679415013,3000,3108,-1,0
1630679425041,3000,3106,-1,0
1630679435021,3000,3108,-1,0
1630679445588,3000,3110,-1,0
1630679455103,3000,3110,-1,0
1630679465048,3000,3106,-1,0
1630679475204,3000,3108,-1,0
1630679485049,2500,3082,-1,0
1630679495164,3000,3108,-1,0
1630679505069,3000,3108,-1,0
1630679515125,3000,3108,-1,0
1630679525084,3000,3110,-1,0
1630679535119,3000,3106,-1,0
1630679545088,3000,3108,-1,0
1630679555091,3000,3106,-1,0
1630679565121,3000,3108,-1,0
1630679575183,3000,3110,-1,0
1630679585149,3000,3108,-1,0
1630679595138,3000,3110,-1,0
1630679605139,3000,3108,-1,0
1630679615168,2000,3069,-1,0
1630679625231,3000,3104,-1,0
1630679635139,3000,3104,-1,0
1630679645191,3000,3110,-1,0
1630679655175,3000,3108,-1,0
1630679665152,3000,3102,-1,0
1630679675166,3000,3102,-1,0
1630679685261,3000,3106,-1,0
1630679695269,3000,3108,-1,0
1630679705317,3000,3104,-1,0
1630679715206,3000,3104,-1,0
1630679725201,3000,3104,-1,0
1630679735239,3000,3102,-1,0
1630679745216,3000,3110,-1,0
1630679755261,3000,3099,-1,0
1630679765239,3000,3106,-1,0
1630679775309,3000,3104,-1,0
1630679785254,3000,3104,-1,0
1630679795233,3000,3104,-1,0
1630679805292,3000,3104,-1,0
1630679815263,3000,3102,-1,0
1630679825322,3000,3097,-1,0
1630679835327,3000,3104,-1,0
1630679845275,2500,3084,-1,0
1630679855301,3000,3102,-1,0
1630679865370,3000,3102,-1,0
1630679875275,3000,3104,-1,0
1630679885289,3000,3102,-1,0
1630679895369,3000,3102,-1,0
1630679905342,3000,3102,-1,0
1630679915349,2500,3084,-1,0
1630679925357,3000,3097,-1,0
1630679935372,3000,3104,-1,0
1630679945381,3000,3102,-1,0
1630679955382,3000,3102,-1,0
1630679965366,3000,3102,-1,0
1630679975376,3000,3097,-1,0
1630679985397,3000,3099,-1,0
1630679995407,3000,3099,-1,0
1630680005422,3000,3099,-1,0
1630680015421,3000,3099,-1,0
1630680025446,3000,3099,-1,0
1630680035428,3000,3099,-1,0
1630680045429,3000,3102,-1,0
1630680055446,2500,3095,-1,0
1630680065452,3000,3097,-1,0
1630680075449,2500,3095,-1,0
1630680085468,2500,3091,-1,0
1630680095468,2500,3093,-1,0
1630680105459,2500,3095,-1,0
1630680115454,2500,3095,-1,0
1630680125471,2500,3095,-1,0
1630680135501,3000,3099,-1,0
1630680145492,2500,3095,-1,0
1630680155525,3000,3099,-1,0
1630680165525,3000,3097,-1,0
1630680175533,2500,3095,-1,0
1630680185518,3000,3099,-1,0
1630680195545,3000,3097,-1,0
1630680205548,2500,3095,-1,0
1630680215590,3000,3097,-1,0
1630680225548,2500,3095,-1,0
1630680235559,2500,3077,-1,0
1630680245566,3000,3097,-1,0
1630680255575,3000,3097,-1,0
1630680265578,2500,3095,-1,0
1630680275596,2500,3095,-1,0
1630680285599,2500,3086,-1,0
1630680295593,2500,3095,-1,0
1630680305609,2500,3093,-1,0
1630680315609,2500,3095,-1,0
1630680325627,2500,3084,-1,0
1630680335602,3000,3097,-1,0
1630680345640,2500,3093,-1,0
1630680355652,2000,3069,-1,0
1630680365650,2500,3093,-1,0
1630680375637,2500,3095,-1,0
1630680385662,2500,3095,-1,0
1630680395654,2000,3069,-1,0
1630680405660,2500,3093,-1,0
1630680415674,2500,3093,-1,0
1630680425707,2500,3088,-1,0
1630680435716,2500,3093,-1,0
1630680445687,2500,3091,-1,0
1630680455713,2500,3091,-1,0
1630680465720,2500,3095,-1,0
1630680475731,2500,3095,-1,0
1630680485728,2500,3093,-1,0
1630680495730,2500,3093,-1,0
1630680505722,2500,3093,-1,0
1630680515715,2500,3095,-1,0
1630680525722,2500,3093,-1,0
1630680535734,2500,3091,-1,0
1630680545766,2500,3091,-1,0
1630680555781,2500,3093,-1,0
1630680565783,2500,3093,-1,0
1630680575780,2500,3086,-1,0
1630680585765,2500,3091,-1,0
1630680595775,2500,3086,-1,0
