timestamp,battery_voltage,battery_level,device_temperature,bluetooth_link_quality,bluetooth_rssi,bluetooth_tx_power,worn_confidence,is_button_press,is_not_fitted_to_garment
1630678967442,4.084,80,25.4,254,0,12,00,0,0
1630678968442,4.084,80,25.4,254,0,12,00,0,0
1630678969442,4.084,80,25.4,254,0,12,00,0,0
1630678970442,4.084,80,25.4,254,0,12,00,0,0
1630678971442,4.084,80,25.4,254,0,12,00,0,0
1630678972442,4.084,80,25.4,254,2,12,00,0,0
1630678973442,4.084,80,25.4,254,0,12,00,0,0
1630678974442,4.084,80,25.4,254,0,12,00,0,0
1630678975442,4.084,80,25.4,254,3,12,00,0,0
1630678976442,4.084,80,25.4,254,0,12,00,0,0
1630678977442,4.084,80,25.4,254,0,12,00,0,0
1630678978442,4.084,80,25.4,254,0,12,00,0,0
1630678979442,4.084,80,25.4,254,0,12,00,0,0
1630678980442,4.084,80,25.4,254,0,12,00,0,0
1630678981442,4.084,80,25.4,254,0,12,00,0,0
1630678982442,4.084,80,25.4,254,2,12,00,0,0
1630678983442,4.084,80,25.4,254,0,12,00,0,0
1630678984442,4.084,80,25.4,254,0,12,00,0,0
1630678985442,4.084,80,25.4,254,0,12,00,0,0
1630678986442,4.084,80,25.4,254,0,12,00,0,0
1630678987442,4.084,80,25.4,254,0,12,00,0,0
1630678988442,4.084,80,25.4,254,0,12,00,0,0
1630678989442,4.084,80,25.4,254,0,12,00,0,0
1630678990442,4.084,80,25.4,254,0,12,00,0,0
1630678991442,4.084,80,25.4,254,0,12,00,0,0
1630678992442,4.084,80,25.5,254,0,12,00,0,0
1630678993442,4.084,80,25.5,254,0,12,00,0,0
1630678994442,4.084,80,25.5,254,0,12,00,0,0
1630678995442,4.084,80,25.5,254,0,12,00,0,0
1630678996442,4.084,80,25.6,254,0,12,00,0,0
1630678997442,4.084,80,25.6,254,0,12,00,0,0
1630678998442,4.084,80,25.6,254,0,12,00,0,0
1630678999442,4.084,80,25.6,254,0,12,00,0,0
1630679000442,4.084,80,25.6,254,0,12,00,0,0
1630679001442,4.084,80,25.7,254,0,12,00,0,0
1630679002442,4.083,80,25.7,254,0,12,00,0,0
1630679003442,4.083,80,25.7,254,0,12,00,0,0
1630679004442,4.083,80,25.7,254,0,12,00,0,0
1630679005442,4.083,80,25.7,254,0,12,00,0,0
1630679006442,4.083,80,25.7,254,0,12,00,0,0
1630679007442,4.083,80,25.7,254,0,12,00,0,0
1630679008442,4.083,80,25.7,254,0,12,00,0,0
1630679009442,4.083,80,25.7,254,0,12,00,0,0
1630679010442,4.083,80,25.7,254,0,12,00,0,0
1630679011442,4.083,80,25.7,254,0,12,00,0,0
1630679012442,4.083,80,25.7,254,1,12,00,0,0
1630679013442,4.083,80,25.7,254,0,12,00,0,0
1630679014442,4.083,80,25.7,254,0,12,00,0,0
1630679015442,4.083,80,25.7,254,0,12,00,0,0
